epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54433,0.36356,0.39426,0.81824,0.98666,0.99634,0.995,0.97967,0.22628,0.2703,0.81484,2.307e-05,2.307e-05,2.307e-05
2,5.7099,0.34953,0.41634,0.85572,0.98665,0.99456,0.995,0.97304,0.24733,0.27645,0.81743,5.27642e-05,5.27642e-05,5.27642e-05
3,7.80249,0.34925,0.39267,0.8398,0.98645,0.99459,0.995,0.97827,0.24433,0.27599,0.81697,8.12402e-05,8.12402e-05,8.12402e-05
4,9.98487,0.3837,0.41221,0.84006,0.987,0.99399,0.995,0.97873,0.25215,0.28285,0.81804,0.000108498,0.000108498,0.000108498
5,12.2162,0.33766,0.3957,0.82535,0.98612,0.99534,0.995,0.9767,0.26451,0.28922,0.81869,0.000134538,0.000134538,0.000134538
6,16.2717,0.37282,0.40514,0.83052,0.98521,0.99602,0.995,0.97133,0.26586,0.28911,0.82062,0.00015936,0.00015936,0.00015936
7,18.4375,0.37802,0.41614,0.8273,0.98521,0.99602,0.995,0.97133,0.26586,0.28911,0.82062,0.000182964,0.000182964,0.000182964
8,20.692,0.44572,0.44206,0.8234,0.98503,0.99616,0.995,0.9692,0.27075,0.29232,0.82333,0.000205349,0.000205349,0.000205349
9,22.7529,0.44967,0.44981,0.84384,0.98568,0.99689,0.995,0.9675,0.28495,0.29992,0.82558,0.000226517,0.000226517,0.000226517
10,25.142,0.43165,0.44383,0.82644,0.98568,0.99689,0.995,0.9675,0.28495,0.29992,0.82558,0.000246466,0.000246466,0.000246466
11,27.3578,0.42995,0.42405,0.84064,0.98598,0.99916,0.995,0.96588,0.30614,0.31297,0.82834,0.000265197,0.000265197,0.000265197
12,29.4325,0.3857,0.41316,0.82915,0.98598,0.99916,0.995,0.96588,0.30614,0.31297,0.82834,0.000282711,0.000282711,0.000282711
13,31.6001,0.4866,0.4957,0.84142,0.98828,1,0.995,0.95464,0.32093,0.32503,0.83336,0.000299006,0.000299006,0.000299006
14,33.7176,0.49035,0.50342,0.84617,0.98828,1,0.995,0.95464,0.32093,0.32503,0.83336,0.000314083,0.000314083,0.000314083
15,35.7178,0.49366,0.50036,0.85972,0.99014,0.99799,0.995,0.95584,0.33601,0.33132,0.83613,0.000327942,0.000327942,0.000327942
16,37.8423,0.40567,0.42054,0.85006,0.99014,0.99799,0.995,0.95584,0.33601,0.33132,0.83613,0.000340582,0.000340582,0.000340582
